datetime,open,high,low,close,volume,symbol,timeframe
2025-12-19 13:30:00+0530,59066.1484375,59096.6015625,59054.6015625,59096.6015625,0,banknifty,15min
2025-12-19 13:45:00+0530,59094.6484375,59124.6015625,59087.8984375,59109.05078125,0,banknifty,15min
2025-12-19 14:00:00+0530,59114.19921875,59125.25,59058.94921875,59070.25,0,banknifty,15min
2025-12-19 14:15:00+0530,59069.55078125,59134.05078125,59063.0,59075.55078125,0,banknifty,15min
2025-12-19 14:30:00+0530,59077.44921875,59115.0,59064.80078125,59113.75,0,banknifty,15min
2025-12-19 14:45:00+0530,59113.1015625,59138.94921875,59081.69921875,59081.69921875,0,banknifty,15min
2025-12-19 15:00:00+0530,59082.3984375,59091.30078125,59047.44921875,59080.0,0,banknifty,15min
2025-12-19 15:15:00+0530,59080.80078125,59083.0,59026.69921875,59046.80078125,0,banknifty,15min
2025-12-22 09:15:00+0530,59224.75,59371.1015625,59158.8984375,59343.30078125,0,banknifty,15min
2025-12-22 09:30:00+0530,59339.69921875,59361.8515625,59270.94921875,59293.6484375,0,banknifty,15min
2025-12-22 09:45:00+0530,59291.55078125,59346.44921875,59275.6484375,59336.3984375,0,banknifty,15min
2025-12-22 10:00:00+0530,59336.75,59352.75,59292.3984375,59307.8515625,0,banknifty,15min
2025-12-22 10:15:00+0530,59307.3984375,59318.8515625,59256.69921875,59285.6015625,0,banknifty,15min
2025-12-22 10:30:00+0530,59282.44921875,59289.0,59226.80078125,59263.0,0,banknifty,15min
2025-12-22 10:45:00+0530,59263.30078125,59310.44921875,59251.80078125,59306.1484375,0,banknifty,15min
2025-12-22 11:00:00+0530,59307.1015625,59316.1484375,59228.0,59239.44921875,0,banknifty,15min
2025-12-22 11:15:00+0530,59238.19921875,59289.0,59232.75,59278.80078125,0,banknifty,15min
2025-12-22 11:30:00+0530,59284.19921875,59294.30078125,59235.6015625,59264.8984375,0,banknifty,15min
2025-12-22 11:45:00+0530,59262.8984375,59293.05078125,59246.55078125,59285.55078125,0,banknifty,15min
2025-12-22 12:00:00+0530,59285.6015625,59312.8984375,59270.94921875,59281.19921875,0,banknifty,15min
2025-12-22 12:15:00+0530,59280.19921875,59312.44921875,59268.5,59282.8515625,0,banknifty,15min
2025-12-22 12:30:00+0530,59280.75,59293.55078125,59214.6484375,59215.6484375,0,banknifty,15min
2025-12-22 12:45:00+0530,59216.6484375,59274.1484375,59183.6015625,59238.05078125,0,banknifty,15min
2025-12-22 13:00:00+0530,59238.5,59276.44921875,59228.44921875,59265.6015625,0,banknifty,15min
2025-12-22 13:15:00+0530,59273.80078125,59293.44921875,59249.94921875,59289.25,0,banknifty,15min
2025-12-22 13:30:00+0530,59289.3515625,59313.05078125,59255.44921875,59278.0,0,banknifty,15min
2025-12-22 13:45:00+0530,59282.6484375,59311.44921875,59268.3515625,59302.3515625,0,banknifty,15min
2025-12-22 14:00:00+0530,59301.19921875,59324.5,59250.8515625,59283.1484375,0,banknifty,15min
2025-12-22 14:15:00+0530,59284.19921875,59323.6015625,59245.44921875,59319.1484375,0,banknifty,15min
2025-12-22 14:30:00+0530,59318.6484375,59339.44921875,59279.3515625,59291.19921875,0,banknifty,15min
2025-12-22 14:45:00+0530,59291.80078125,59306.75,59270.30078125,59291.44921875,0,banknifty,15min
