datetime,open,high,low,close,volume,symbol,timeframe
2025-12-19 13:40:00+0530,84932.2265625,84967.2890625,84932.2265625,84957.7578125,0,sensex,5min
2025-12-19 13:45:00+0530,84957.6171875,84991.953125,84955.53125,84974.2890625,0,sensex,5min
2025-12-19 13:50:00+0530,84974.2890625,84979.75,84956.3671875,84963.65625,0,sensex,5min
2025-12-19 13:55:00+0530,84966.0390625,84975.65625,84947.7578125,84965.4296875,0,sensex,5min
2025-12-19 14:00:00+0530,84965.578125,84984.8203125,84926.0703125,84932.421875,0,sensex,5min
2025-12-19 14:05:00+0530,84933.03125,84948.59375,84917.3671875,84942.8203125,0,sensex,5min
2025-12-19 14:10:00+0530,84939.890625,84957.40625,84921.4375,84950.25,0,sensex,5min
2025-12-19 14:15:00+0530,84946.1171875,84977.9375,84935.90625,84977.9375,0,sensex,5min
2025-12-19 14:20:00+0530,84977.9296875,85016.96875,84970.0703125,85006.59375,0,sensex,5min
2025-12-19 14:25:00+0530,85012.8984375,85030.3125,84954.40625,84954.40625,0,sensex,5min
2025-12-19 14:30:00+0530,84954.6171875,84972.53125,84944.8203125,84955.96875,0,sensex,5min
2025-12-19 14:35:00+0530,84950.1015625,84975.7578125,84941.921875,84968.8671875,0,sensex,5min
2025-12-19 14:40:00+0530,84970.9921875,84976.9609375,84951.34375,84969.2890625,0,sensex,5min
2025-12-19 14:45:00+0530,84967.4609375,84982.5390625,84948.859375,84971.078125,0,sensex,5min
2025-12-19 14:50:00+0530,84970.3203125,84970.3203125,84935.109375,84937.921875,0,sensex,5min
2025-12-19 14:55:00+0530,84936.7265625,84941.671875,84914.7734375,84914.7734375,0,sensex,5min
2025-12-19 15:00:00+0530,84912.4765625,84916.9375,84858.546875,84916.34375,0,sensex,5min
2025-12-19 15:05:00+0530,84916.140625,84957.328125,84904.1796875,84937.3671875,0,sensex,5min
2025-12-19 15:10:00+0530,84935.7265625,84943.65625,84913.1015625,84939.0625,0,sensex,5min
2025-12-19 15:15:00+0530,84930.7734375,84930.7734375,84924.0234375,84925.65625,0,sensex,5min
2025-12-19 15:20:00+0530,84925.65625,84930.6328125,84925.640625,84930.546875,0,sensex,5min
2025-12-19 15:25:00+0530,84930.546875,84934.0078125,84929.421875,84929.421875,0,sensex,5min
2025-12-22 09:15:00+0530,85197.0703125,85342.703125,85182.9765625,85307.46875,0,sensex,5min
