symbol,timeframe,rows,start_date,end_date,status
nifty50,1min,1499,2025-12-19 13:23:00+0530,2025-12-26 13:21:00+0530,SUCCESS
nifty50,5min,301,2025-12-19 13:20:00+0530,2025-12-26 13:20:00+0530,SUCCESS
nifty50,15min,101,2025-12-19 13:15:00+0530,2025-12-26 13:15:00+0530,SUCCESS
banknifty,1min,1499,2025-12-19 13:23:00+0530,2025-12-26 13:21:00+0530,SUCCESS
banknifty,5min,301,2025-12-19 13:20:00+0530,2025-12-26 13:20:00+0530,SUCCESS
banknifty,15min,101,2025-12-19 13:15:00+0530,2025-12-26 13:15:00+0530,SUCCESS
sensex,1min,1485,2025-12-19 13:23:00+0530,2025-12-26 13:07:00+0530,SUCCESS
sensex,5min,298,2025-12-19 13:20:00+0530,2025-12-26 13:05:00+0530,SUCCESS
sensex,15min,100,2025-12-19 13:15:00+0530,2025-12-26 13:00:00+0530,SUCCESS
